Interval=	0.001 s
ExcelDateTime=	4.3161461872426349e+004	3/2/2018 11:05:05.777636
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3
Range=	0.8691 V	10.000 V
0.953	0.0378	-0.016
0.954	0.0378	-0.019
0.955	0.0378	-0.022
0.956	0.0378	-0.020
0.957	0.0378	-0.014
0.958	0.0378	-0.010
0.959	0.0378	-0.003
0.96	0.0378	0.004
0.961	0.0378	0.011
0.962	0.0378	0.015
0.963	0.0380	0.017
0.964	0.0384	0.016
0.965	0.0384	0.013
0.966	0.0384	0.007
0.967	0.0384	0.003
0.968	0.0384	-0.000
0.969	0.0384	0.001
0.97	0.0384	0.003
0.971	0.0384	0.008
0.972	0.0384	0.011
0.973	0.0384	0.011
0.974	0.0384	0.016
0.975	0.0384	0.022
0.976	0.0384	0.028
